trial_num,iteration,accel_x,accel_y,accel_z,accel_diff,action,change_lane_finished,curr_time,curr_lane,lane_rho_l,lane_theta_l,lane_rho_r,lane_theta_r,follow_enable,free_east,free_north,free_north_east,free_north_west,free_south_east,free_south_west,free_west,distance_to_north,pass_finished,sdc_curr_pos.x,sdc_curr_pos.y,sdc_curr_pos.theta,speed,start_change_lane_on_left,start_change_lane_on_right,steering,success,goal_reached,latent_collision,type_latent_collision,car_1_pose.x,car_1_pose.y,car_2_pose.x,car_2_pose.y,car_3_pose.x,car_3_pose.y,car_4_pose.x,car_4_pose.y,car_5_pose.x,car_5_pose.y,car_6_pose.x,car_6_pose.y,car_7_pose.x,car_7_pose.y,car_8_pose.x,car_8_pose.y,car_9_pose.x,car_9_pose.y,car_10_pose.x,car_10_pose.y
1,1,0.026730327294100624,5.371577793790214e-13,9.801568382805854,0.012072363551882688,,False,0.78,True,459.42661266185826,2.1528209626371253,509.9068621688877,1.1755574545980234,False,False,True,True,True,True,True,False,0.0,False,18.861616053948588,-2.49999999999998,3.844951143664385e-14,0.0,False,False,0.0,True,False,False,0.0,21.46714756858446,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.052065071572467224,-3.7235630862732685e-13,9.816620347789012,0.0020269659290747402,,False,1.24,True,458.80612336092736,2.1600711772698458,498.2836425280407,1.1212391501532497,False,False,True,True,True,True,True,False,0.0,False,18.86162554636222,-2.4999999999999796,3.808206191893076e-14,0.0,False,False,0.0,True,False,False,0.0,21.46714756858446,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.04396217939584596,-1.3445485233456647e-13,9.809930616377578,1.5232333617943313e-06,,False,1.65,True,459.00925097085013,2.156617351581155,499.0642894955079,1.1190264073139558,False,False,True,True,True,True,True,False,0.0,False,18.86164180675836,-2.49999999999998,3.7828081163144955e-14,0.0,False,False,0.0,True,False,False,0.0,21.46714756858446,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1.2073210114584216,-0.04250010248802097,9.559828610879627,1.8297465879831254,cruise,False,2.04,True,462.542739107712,2.1560886292860433,500.8433067060025,1.1188374765336395,False,False,True,True,False,True,True,False,0.0,False,18.888913649269963,-2.500147518493371,-0.0003144574629834136,28.81010087013513,False,False,-0.026442202885885998,True,False,False,0.0,24.12714756858447,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,-3.5627194322103333,-0.057387702872575844,10.10144181097615,0.4863549241425225,change_to_left,False,2.44,True,452.6339718205905,2.1535053252775676,494.81752583959076,1.1223682877111276,False,False,True,True,False,True,True,True,0.0,False,19.21212490747144,-2.4999369151854354,0.00097729289806887,0.0,True,False,0.0,True,False,True,3.0,26.92714756858448,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,5.226441467315197,-0.07556807769723958,10.25574727062081,0.22010024839979536,cruise,False,2.85,True,447.2854104952981,2.1569173751191646,486.37214358585845,1.1202447317386652,False,False,True,True,False,True,True,True,0.0,False,19.581321579684044,-2.5000034975337018,-0.00027858040197009193,28.77905871552632,False,False,-0.027132028543859602,True,False,False,0.0,29.797147568584492,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,4.415718709385934,0.39319605377787537,9.746442622034907,0.5787848767668231,cruise,False,3.25,True,461.0207743170503,2.1595178572778546,487.677751746435,1.1181528884364569,False,True,True,True,False,False,True,True,0.0,False,20.531608228401442,-2.5046444844247318,-0.007438272659567025,28.910605604168463,False,False,0.12066364325748243,True,False,True,1.0,32.597147568584504,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,4.024378272524868,-0.5325386019191338,9.748169735143982,0.11410923790162092,cruise,False,3.66,True,448.3359454094286,2.158407081880884,496.80725254322283,1.1192254253316656,False,True,True,True,False,False,True,True,0.0,False,22.20964254036153,-2.496067450310847,0.0057342635912045045,28.5262089170417,False,False,-0.032750912954628904,True,False,False,0.0,35.537147568584516,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,4.060686821127412,-0.2288542252725448,9.771139264797329,0.06560884406132814,cruise,False,4.08,True,464.58824640122936,2.147689447052403,483.77071184851684,1.1222609605555762,False,True,True,True,False,False,True,True,0.0,False,24.523779361718937,-2.5082525346691233,-0.013100657918168895,29.179739569017286,False,False,-0.018228009577393702,True,False,False,0.0,38.40714756858453,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,4.058720896344598,-0.08164685133417318,9.7740049843238,0.014264470153489445,cruise,False,4.5,True,481.17990377261805,2.1459378987177815,470.8675974731452,1.1173109896399167,False,True,True,True,False,False,True,True,0.0,False,27.585884319140415,-2.5737003456458534,-0.02581147180299465,29.810819608722475,False,False,-0.004204008695056093,True,False,False,0.0,41.34714756858454,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11,-0.2761909752631416,0.2223415543276166,9.721086204460947,0.12752244220035994,cruise,False,4.9,True,495.33813592506533,2.126333619740679,473.89092433568106,1.0999351368765795,False,True,True,True,False,False,True,True,0.0,False,30.908727598960358,-2.6661921536061213,-0.02823363932178245,29.88762995868505,False,False,0.0024971120292211634,True,False,False,0.0,44.14714756858455,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,-0.009531889595616475,0.307441076068505,9.773489444656521,0.03802622231277373,cruise,False,5.3,True,495.4322247158369,2.1048246620996913,471.94332612342487,1.0842995094534846,False,True,True,True,False,False,True,True,0.0,False,34.222356430422955,-2.755507502896173,-0.025174466997706927,29.82106761364929,False,False,0.0039762752522379515,True,False,False,0.0,46.94714756858456,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13,0.18814515365636314,0.1051129711531094,9.793034650806847,0.15964658113947647,cruise,False,5.6899999999999995,True,493.6625403063883,2.0941012286896865,471.30915365687895,1.0822162294716802,False,True,True,True,False,False,True,True,0.0,False,37.53481956461039,-2.8320318090759034,-0.020986116687767353,29.839117649130024,False,False,0.003575163352666177,True,False,False,0.0,49.74714756858457,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14,0.04294155186629741,0.0760258797246017,9.811057202460994,0.22553203429418764,cruise,False,6.08,True,492.7123220316784,2.0857233904321304,473.0151294296439,1.0656527514872016,False,True,True,True,False,False,True,True,0.0,False,40.7674225878105,-2.893713855681177,-0.017247528115971154,29.88937100863438,False,False,0.002458422030347075,True,False,False,0.0,52.477147568584584,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15,0.00793449923186814,0.084931566964164,9.812014192139454,0.051865879432279646,cruise,False,6.5,True,493.76743964411213,2.0828754813695545,472.56883284368837,1.0652788487532079,False,True,True,True,False,True,True,True,0.0,False,44.17192466353361,-2.947430089282216,-0.0144951995168187,29.90486014912597,False,False,0.00211421890831177,True,False,False,0.0,55.347147568584596,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16,0.13402218232917465,0.027364509012475002,9.805919733021543,0.09326746809084857,cruise,False,6.9,True,492.2632020407368,2.0797717081564815,473.05351566215325,1.0616598679199551,False,True,True,True,False,True,True,True,0.0,False,47.492009121476364,-2.991248119601053,-0.011854249939811653,29.929867073900763,False,False,0.001558509468871937,True,False,False,0.0,58.14714756858461,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17,0.02328415545464787,0.02237070306651766,9.805244463604206,0.02165223039453283,cruise,False,7.31,True,491.65253603373253,2.0657040621592992,473.5482387783875,1.0515248807696578,False,True,True,True,False,True,True,True,0.0,False,50.900752501170984,-3.02824781953416,-0.010053225108513546,29.935288812448306,False,False,0.0014380263900376205,True,False,False,0.0,61.01714756858462,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18,-3.89658177690488,-1.113364331294366,9.882044865104824,1.3795074062884933,swerve_right,False,7.72,True,504.4725474417461,2.061429556826634,468.7024091111325,1.0466710005858717,False,True,False,True,False,True,True,True,0.0,False,54.28334451805628,-3.0639889510061167,-0.018481263484726573,0.0,False,False,0.0,True,False,True,7.0,63.88714756858463,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19,-3.8139410957555646,-0.08375589281953037,9.892590661003357,0.022707549272855038,swerve_left,False,8.12,True,513.0508990221588,2.0455957147028974,459.7848006843772,1.032948271005004,False,True,False,True,False,True,True,True,0.0,False,57.103485051989274,-3.1349122301395465,-0.026101724655287796,0.0,False,False,0.0,True,False,True,6.0,66.68714756858436,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20,-3.968724219671612,-0.002934371793549948,9.79935903713553,0.008821892555706696,swerve_left,False,8.52,True,516.7574462955893,2.0543810708744914,458.43653898196425,1.0272865860196172,False,True,False,True,False,True,True,True,0.0,False,59.28904352116844,-3.1922772291032335,-0.026038854876700348,0.0,False,False,0.0,True,False,True,6.0,69.48714756858409,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21,-3.974627836366482,0.0011090919158266825,9.804195584026097,0.00038761920110774983,swerve_left,False,8.92,True,514.9048887109789,2.0300921989751775,456.2672404846985,1.0145121373711508,False,True,False,True,False,True,True,True,0.0,False,60.839791769079696,-3.2327954506422545,-0.02587349165536639,0.0,False,False,0.0,True,False,True,7.0,72.28714756858382,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22,-3.9693034726843703,0.0006316559522457134,9.809323416675081,0.0003565022193292816,swerve_left,False,9.33,True,516.3933034398283,2.0306784563733,455.09472506134966,1.013124217103218,False,True,False,True,False,True,True,True,0.0,False,61.770679345740795,-3.2570680612160507,-0.025705286120816243,0.0,False,False,0.0,True,False,True,7.0,75.15714756858354,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23,-0.83093610276854,0.009058199102558765,9.586422576521075,1.7607605034813376,swerve_left,False,9.74,True,517.0553928318081,2.032620394151749,453.8592110410916,1.0125059633221818,False,True,False,True,False,True,True,True,0.0,False,62.037936723489125,-3.2641456843158596,-0.025560607302429404,0.0,False,False,0.0,True,False,True,7.0,78.02714756858326,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24,-0.1352582140241901,0.00034904365339478153,9.77147784926682,0.03684169755445762,swerve_left,False,10.14,True,509.0841391976559,2.027649935465936,448.3213927227504,1.0121329288776066,False,True,False,True,False,True,True,True,0.0,False,62.03651032078385,-3.2641042982442525,-0.025561983349795016,0.0,False,False,0.0,True,False,True,5.0,80.89714756858298,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25,0.06921694300934762,1.717582027189386e-05,9.835236628314949,0.0055163326487698535,swerve_left,False,10.54,True,512.7088910961795,2.0450538833070597,447.63794439726644,1.0131926964865987,False,True,False,True,False,True,True,True,0.0,False,62.03639812319509,-3.2641012853216584,-0.0255619837532571,0.0,False,False,0.0,True,False,True,5.0,83.62714756858271,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26,0.04961758412160163,8.463209741352896e-07,9.813404925289076,0.0018043790855406536,swerve_left,False,10.94,True,512.7689683379103,2.045637173563515,447.7106210054998,1.0124313315321471,False,True,False,True,False,True,True,True,0.0,False,62.036439853536905,-3.2641023458520446,-0.02556198374881487,0.0,False,False,0.0,True,False,True,5.0,86.42714756858244,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27,0.044049978247572515,-1.4522242158282417e-08,9.809870983926041,1.5958802498884794e-06,swerve_left,False,11.34,True,511.16121048097693,2.0386144131035833,448.13708787154985,1.012956207937401,False,True,False,True,False,True,True,True,0.0,False,62.036439455652975,-3.2641023353881624,-0.025561983745492584,0.0,False,False,0.0,True,False,True,5.0,89.22714756858217,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28,3.9888579319445996,0.09751490916645204,9.705844465185418,0.21613275385718225,change_to_left,False,11.74,True,506.04653942720233,2.034860969972382,444.36702079883764,1.0132939532847702,False,True,False,True,True,True,True,True,0.0,False,62.05821891288656,-3.264181694119095,-0.0254097833753384,30.0,True,False,0.1162617373233272,True,False,False,-1.0,92.0271475685819,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29,3.8482889513654492,0.2805058039711022,9.70001150275874,0.019168643899222494,change_to_left,False,12.14,True,493.44334663545004,2.036974638853726,455.7889071891668,1.014645714955296,False,True,False,True,True,True,True,True,0.0,False,62.543682365913924,-3.2698359660808993,-0.009330887295778356,30.0,True,False,0.1162617373233272,True,False,False,-1.0,94.82714756858162,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,4.013159808968704,0.5841204475646469,9.779934985448637,0.02119165697254338,change_to_left,False,12.54,True,461.7184496992799,2.0346354309535304,487.97078983345364,1.0302503882900522,False,True,False,True,True,True,True,True,0.0,False,63.69543970863725,-3.250773839516183,0.030718623717281127,30.0,True,False,0.1162617373233272,True,False,False,-1.0,97.69714756858134,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31,4.004430531129769,1.0811198795818338,9.776404445290101,0.027917551536426537,change_to_left,False,12.95,True,405.28597826328195,2.0608302016414672,520.8279135072419,1.0908719429535494,False,True,False,True,True,True,True,True,0.0,False,65.45382968826141,-3.132979700155187,0.09175420180859291,30.0,True,False,0.1162617373233272,True,False,False,-1.0,100.49714756858107,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32,3.9342131957186566,1.7682481870624238,9.767823505765431,0.03807545210787867,change_to_left,False,13.36,True,319.22080333008284,2.1217558953390183,518.708532066878,1.126170654458615,False,True,False,True,True,True,True,True,0.0,False,67.82127588598155,-2.8034676956995623,0.17472822193713838,30.0,True,False,0.1162617373233272,True,False,False,-1.0,103.2971475685808,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33,2.230311877281853,2.4313673561792566,9.837062811332492,0.24939803210652264,change_to_left,False,13.77,True,87.67325354381485,2.3468622878407044,473.8659816221141,0.8545331601913535,False,True,False,True,True,True,True,True,0.0,False,70.90707046274318,-2.0668851293893282,0.28706509920254325,30.0,True,False,0.1162617373233272,True,False,False,-1.0,106.23714756858051,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,34,0.024047708772398237,2.6310107018502,9.785386650386124,0.05007186657371599,change_to_left,False,14.17,True,0.0,0.0,567.7360790559285,-0.1609381808059116,False,True,False,False,True,True,True,True,0.0,False,74.01778467258764,-0.9345434915652917,0.413417968185831,30.0,True,False,0.1162617373233272,True,False,False,-1.0,109.03714756858024,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,35,-0.41430838052119845,-4.38247585665838,9.796551793883813,0.22189697530863348,change_to_left,False,14.59,False,0.0,0.0,0.0,0.0,False,False,True,True,True,True,True,True,0.0,False,77.13249743230202,0.6431716728448488,0.4750316148100758,30.0,True,False,-0.1162617373233272,True,False,True,2.0,111.97714756857995,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36,-4.222651228083457,-4.03346547971311,9.902418863460698,0.24836981062870345,cruise,False,15.0,False,324.87285224844163,1.9124523767844466,0.0,0.0,False,False,True,True,True,True,True,True,0.0,False,80.20921291709098,2.0060400499269946,0.3458824376508728,22.32005619741129,False,False,-0.17066541783530462,True,False,False,0.0,114.84714756857967,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,37,-3.8924076447033196,-2.2942592277227316,9.868159571865874,3.79774603312521,cruise,False,15.41,False,373.3501270296113,1.997988570529259,641.026779130704,1.0753215475421767,False,False,True,True,True,False,True,True,0.0,False,82.95816109804534,2.76715504739051,0.19354319168392597,23.448263128203713,False,False,-0.1455941527065841,True,False,False,0.0,117.71714756857939,3.68,79.29439186358788,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
