"action","curr_lane","free_E","free_NE","free_NW","free_SE","free_SW","free_W","latent_collision","iaction"
"change_to_right","False","True","True","True","True","False","True","True","swerve_left"
"cruise","False","True","True","True","True","False","True","True","swerve_left"
"keep","False","True","True","True","True","False","True","True","swerve_left"
"change_to_right","False","True","True","True","True","True","False","True","cruise"
"cruise","False","True","True","True","True","True","False","True","change_to_right"
"keep","False","True","True","True","True","True","False","True","change_to_right"
"change_to_right","False","True","True","True","True","True","True","True","swerve_right"
"cruise","False","True","True","True","True","True","True","True","swerve_right"
"keep","False","True","True","True","True","True","True","True","swerve_right"
"keep","True","False","False","False","False","False","False","True","swerve_right"
"keep","True","False","False","False","False","False","True","True","swerve_right"
"keep","True","False","False","False","False","True","False","True","swerve_right"
"keep","True","False","False","False","False","True","True","True","swerve_left"
"keep","True","False","False","False","True","False","False","True","swerve_right"
"keep","True","False","False","False","True","False","True","True","swerve_left"
"keep","True","False","False","False","True","True","False","True","swerve_right"
"keep","True","False","False","False","True","True","True","True","swerve_right"
"keep","True","False","False","True","False","False","False","True","keep"
"change_to_left","True","False","False","True","False","False","True","True","swerve_right"
"keep","True","False","False","True","False","False","True","True","swerve_left"
"keep","True","False","False","True","False","True","False","True","keep"
"change_to_left","True","False","False","True","False","True","True","True","keep"
"keep","True","False","False","True","False","True","True","True","change_to_left"
"keep","True","False","False","True","True","False","False","True","keep"
"change_to_left","True","False","False","True","True","False","True","True","swerve_left"
"keep","True","False","False","True","True","False","True","True","swerve_left"
"keep","True","False","False","True","True","True","False","True","keep"
"change_to_left","True","False","False","True","True","True","True","True","swerve_right"
"keep","True","False","False","True","True","True","True","True","swerve_right"
"cruise","True","False","True","False","False","False","False","True","swerve_right"
"keep","True","False","True","False","False","False","False","True","cruise"
"cruise","True","False","True","False","False","False","True","True","swerve_left"
"keep","True","False","True","False","False","False","True","True","swerve_left"
"cruise","True","False","True","False","False","True","False","True","swerve_right"
"keep","True","False","True","False","False","True","False","True","swerve_right"
"cruise","True","False","True","False","False","True","True","True","keep"
"keep","True","False","True","False","False","True","True","True","swerve_left"
"cruise","True","False","True","False","True","False","False","True","swerve_right"
"keep","True","False","True","False","True","False","False","True","swerve_right"
"cruise","True","False","True","False","True","False","True","True","swerve_left"
"keep","True","False","True","False","True","False","True","True","swerve_left"
"cruise","True","False","True","False","True","True","False","True","swerve_right"
"keep","True","False","True","False","True","True","False","True","swerve_right"
"cruise","True","False","True","False","True","True","True","True","swerve_left"
"keep","True","False","True","False","True","True","True","True","swerve_left"
"cruise","True","False","True","True","False","False","False","True","cruise"
"keep","True","False","True","True","False","False","False","True","cruise"
"change_to_left","True","False","True","True","False","False","True","True","keep"
"cruise","True","False","True","True","False","False","True","True","swerve_left"
"keep","True","False","True","True","False","False","True","True","change_to_left"
"cruise","True","False","True","True","False","True","False","True","cruise"
"keep","True","False","True","True","False","True","False","True","cruise"
"change_to_left","True","False","True","True","False","True","True","True","swerve_left"
"cruise","True","False","True","True","False","True","True","True","keep"
"keep","True","False","True","True","False","True","True","True","swerve_left"
"cruise","True","False","True","True","True","False","False","True","cruise"
"keep","True","False","True","True","True","False","False","True","cruise"
"change_to_left","True","False","True","True","True","False","True","True","keep"
"cruise","True","False","True","True","True","False","True","True","swerve_left"
"keep","True","False","True","True","True","False","True","True","swerve_left"
"cruise","True","False","True","True","True","True","False","True","cruise"
"keep","True","False","True","True","True","True","False","True","cruise"
"change_to_left","True","False","True","True","True","True","True","True","swerve_left"
"cruise","True","False","True","True","True","True","True","True","swerve_left"
"keep","True","False","True","True","True","True","True","True","swerve_left"
"keep","True","True","False","False","False","False","False","True","swerve_left"
"keep","True","True","False","False","False","False","True","True","swerve_right"
"keep","True","True","False","False","False","True","False","True","swerve_right"
"keep","True","True","False","False","False","True","True","True","swerve_right"
"keep","True","True","False","False","True","False","False","True","swerve_left"
"keep","True","True","False","False","True","False","True","True","swerve_right"
"keep","True","True","False","False","True","True","False","True","swerve_left"
"keep","True","True","False","False","True","True","True","True","swerve_left"
"keep","True","True","False","True","False","False","False","True","swerve_left"
"change_to_left","True","True","False","True","False","False","True","True","swerve_right"
"keep","True","True","False","True","False","False","True","True","swerve_right"
"keep","True","True","False","True","False","True","False","True","swerve_right"
"change_to_left","True","True","False","True","False","True","True","True","swerve_right"
"keep","True","True","False","True","False","True","True","True","swerve_right"
"keep","True","True","False","True","True","False","False","True","swerve_right"
"change_to_left","True","True","False","True","True","False","True","True","swerve_right"
"keep","True","True","False","True","True","False","True","True","swerve_right"
"keep","True","True","False","True","True","True","False","True","swerve_left"
"change_to_left","True","True","False","True","True","True","True","True","swerve_left"
"keep","True","True","False","True","True","True","True","True","swerve_left"
"cruise","True","True","True","False","False","False","False","True","keep"
"keep","True","True","True","False","False","False","False","True","swerve_right"
"cruise","True","True","True","False","False","False","True","True","keep"
"keep","True","True","True","False","False","False","True","True","swerve_right"
"cruise","True","True","True","False","False","True","False","True","swerve_left"
"keep","True","True","True","False","False","True","False","True","swerve_left"
"cruise","True","True","True","False","False","True","True","True","swerve_right"
"keep","True","True","True","False","False","True","True","True","swerve_right"
"cruise","True","True","True","False","True","False","False","True","keep"
"keep","True","True","True","False","True","False","False","True","swerve_left"
"cruise","True","True","True","False","True","False","True","True","swerve_left"
"keep","True","True","True","False","True","False","True","True","swerve_right"
"cruise","True","True","True","False","True","True","False","True","swerve_left"
"keep","True","True","True","False","True","True","False","True","swerve_left"
"cruise","True","True","True","False","True","True","True","True","swerve_left"
"keep","True","True","True","False","True","True","True","True","swerve_left"
"cruise","True","True","True","True","False","False","False","True","swerve_right"
"keep","True","True","True","True","False","False","False","True","swerve_right"
"change_to_left","True","True","True","True","False","False","True","True","keep"
"cruise","True","True","True","True","False","False","True","True","keep"
"keep","True","True","True","True","False","False","True","True","swerve_left"
"cruise","True","True","True","True","False","True","False","True","swerve_right"
"keep","True","True","True","True","False","True","False","True","swerve_right"
"change_to_left","True","True","True","True","False","True","True","True","keep"
"cruise","True","True","True","True","False","True","True","True","keep"
"keep","True","True","True","True","False","True","True","True","swerve_left"
"cruise","True","True","True","True","True","False","False","True","swerve_right"
"keep","True","True","True","True","True","False","False","True","swerve_right"
"change_to_left","True","True","True","True","True","False","True","True","swerve_left"
"cruise","True","True","True","True","True","False","True","True","swerve_left"
"keep","True","True","True","True","True","False","True","True","swerve_left"
"cruise","True","True","True","True","True","True","False","True","swerve_right"
"keep","True","True","True","True","True","True","False","True","swerve_right"
"change_to_left","True","True","True","True","True","True","True","True","keep"
"cruise","True","True","True","True","True","True","True","True","keep"
"keep","True","True","True","True","True","True","True","True","swerve_right"
"swerve_left","False","False","False","False","False","False","False","True","swerve_right"
"swerve_left","False","True","False","False","False","False","False","True","swerve_right"
"swerve_left","False","False","True","False","False","False","False","True","keep"
"swerve_left","False","True","True","False","False","False","False","True","keep"
"swerve_left","False","False","False","True","False","False","False","True","cruise"
"swerve_left","False","True","False","True","False","False","False","True","cruise"
"swerve_left","False","False","True","True","False","False","False","True","cruise"
"swerve_left","False","True","True","True","False","False","False","True","change_to_right"
"swerve_left","False","False","False","False","True","False","False","True","swerve_right"
"swerve_left","False","True","False","False","True","False","False","True","swerve_right"
"swerve_left","False","False","True","False","True","False","False","True","keep"
"swerve_left","False","True","True","False","True","False","False","True","keep"
"swerve_left","False","False","False","True","True","False","False","True","cruise"
"swerve_left","False","True","False","True","True","False","False","True","cruise"
"swerve_left","False","False","True","True","True","False","False","True","cruise"
"swerve_left","False","True","True","True","True","False","False","True","cruise"
"swerve_left","False","False","False","False","False","True","False","True","swerve_right"
"swerve_left","False","True","False","False","False","True","False","True","keep"
"swerve_left","False","False","True","False","False","True","False","True","keep"
"swerve_left","False","True","True","False","False","True","False","True","keep"
"swerve_left","False","False","False","True","False","True","False","True","swerve_right"
"swerve_left","False","True","False","True","False","True","False","True","cruise"
"swerve_left","False","False","True","True","False","True","False","True","cruise"
"swerve_left","False","True","True","True","False","True","False","True","cruise"
"swerve_left","False","False","False","False","True","True","False","True","swerve_right"
"swerve_left","False","True","False","False","True","True","False","True","keep"
"swerve_left","False","False","True","False","True","True","False","True","keep"
"swerve_left","False","True","True","False","True","True","False","True","keep"
"swerve_left","False","False","False","True","True","True","False","True","cruise"
"swerve_left","False","True","False","True","True","True","False","True","cruise"
"swerve_left","False","False","True","True","True","True","False","True","cruise"
"swerve_left","False","True","True","True","True","True","False","True","change_to_right"
"swerve_left","False","False","False","False","False","False","True","True","keep"
"swerve_left","False","True","False","False","False","False","True","True","keep"
"swerve_left","False","False","True","False","False","False","True","True","keep"
"swerve_left","False","True","True","False","False","False","True","True","change_to_right"
"swerve_left","False","False","False","True","False","False","True","True","keep"
"swerve_left","False","True","False","True","False","False","True","True","keep"
"swerve_left","False","False","True","True","False","False","True","True","keep"
"swerve_left","False","True","True","True","False","False","True","True","swerve_right"
"swerve_left","False","False","False","False","True","False","True","True","keep"
"swerve_left","False","True","False","False","True","False","True","True","keep"
"swerve_left","False","False","True","False","True","False","True","True","keep"
"swerve_left","False","True","True","False","True","False","True","True","keep"
"swerve_left","False","False","False","True","True","False","True","True","keep"
"swerve_left","False","True","False","True","True","False","True","True","keep"
"swerve_left","False","False","True","True","True","False","True","True","keep"
"swerve_left","False","True","True","True","True","False","True","True","swerve_right"
"swerve_left","False","False","False","False","False","True","True","True","keep"
"swerve_left","False","True","False","False","False","True","True","True","keep"
"swerve_left","False","False","True","False","False","True","True","True","keep"
"swerve_left","False","True","True","False","False","True","True","True","keep"
"swerve_left","False","False","False","True","False","True","True","True","keep"
"swerve_left","False","True","False","True","False","True","True","True","keep"
"swerve_left","False","False","True","True","False","True","True","True","keep"
"swerve_left","False","True","True","True","False","True","True","True","keep"
"swerve_left","False","False","False","False","True","True","True","True","keep"
"swerve_left","False","True","False","False","True","True","True","True","keep"
"swerve_left","False","False","True","False","True","True","True","True","keep"
"swerve_left","False","True","True","False","True","True","True","True","keep"
"swerve_left","False","False","False","True","True","True","True","True","keep"
"swerve_left","False","True","False","True","True","True","True","True","keep"
"swerve_left","False","False","True","True","True","True","True","True","keep"
"swerve_left","False","True","True","True","True","True","True","True","swerve_right"
"swerve_right","True","False","False","False","False","False","False","True","keep"
"swerve_right","True","True","False","False","False","False","False","True","keep"
"swerve_right","True","False","True","False","False","False","False","True","cruise"
"swerve_right","True","True","True","False","False","False","False","True","keep"
"swerve_right","True","False","False","True","False","False","False","True","keep"
"swerve_right","True","True","False","True","False","False","False","True","keep"
"swerve_right","True","False","True","True","False","False","False","True","cruise"
"swerve_right","True","True","True","True","False","False","False","True","keep"
"swerve_right","True","False","False","False","True","False","False","True","keep"
"swerve_right","True","True","False","False","True","False","False","True","swerve_left"
"swerve_right","True","False","True","False","True","False","False","True","cruise"
"swerve_right","True","True","True","False","True","False","False","True","keep"
"swerve_right","True","False","False","True","True","False","False","True","keep"
"swerve_right","True","True","False","True","True","False","False","True","swerve_left"
"swerve_right","True","False","True","True","True","False","False","True","cruise"
"swerve_right","True","True","True","True","True","False","False","True","swerve_left"
"swerve_right","True","False","False","False","False","True","False","True","keep"
"swerve_right","True","True","False","False","False","True","False","True","swerve_left"
"swerve_right","True","False","True","False","False","True","False","True","cruise"
"swerve_right","True","True","True","False","False","True","False","True","swerve_left"
"swerve_right","True","False","False","True","False","True","False","True","keep"
"swerve_right","True","True","False","True","False","True","False","True","swerve_left"
"swerve_right","True","False","True","True","False","True","False","True","cruise"
"swerve_right","True","True","True","True","False","True","False","True","keep"
"swerve_right","True","False","False","False","True","True","False","True","keep"
"swerve_right","True","True","False","False","True","True","False","True","swerve_left"
"swerve_right","True","False","True","False","True","True","False","True","cruise"
"swerve_right","True","True","True","False","True","True","False","True","swerve_left"
"swerve_right","True","False","False","True","True","True","False","True","keep"
"swerve_right","True","True","False","True","True","True","False","True","swerve_left"
"swerve_right","True","False","True","True","True","True","False","True","cruise"
"swerve_right","True","True","True","True","True","True","False","True","keep"
"swerve_right","True","False","False","False","False","False","True","True","keep"
"swerve_right","True","True","False","False","False","False","True","True","keep"
"swerve_right","True","False","True","False","False","False","True","True","keep"
"swerve_right","True","True","True","False","False","False","True","True","keep"
"swerve_right","True","False","False","True","False","False","True","True","change_to_left"
"swerve_right","True","True","False","True","False","False","True","True","keep"
"swerve_right","True","False","True","True","False","False","True","True","change_to_left"
"swerve_right","True","True","True","True","False","False","True","True","keep"
"swerve_right","True","False","False","False","True","False","True","True","swerve_left"
"swerve_right","True","True","False","False","True","False","True","True","swerve_left"
"swerve_right","True","False","True","False","True","False","True","True","keep"
"swerve_right","True","True","True","False","True","False","True","True","keep"
"swerve_right","True","False","False","True","True","False","True","True","swerve_left"
"swerve_right","True","True","False","True","True","False","True","True","swerve_left"
"swerve_right","True","False","True","True","True","False","True","True","swerve_left"
"swerve_right","True","True","True","True","True","False","True","True","swerve_left"
"swerve_right","True","False","False","False","False","True","True","True","swerve_left"
"swerve_right","True","True","False","False","False","True","True","True","swerve_left"
"swerve_right","True","False","True","False","False","True","True","True","keep"
"swerve_right","True","True","True","False","False","True","True","True","swerve_left"
"swerve_right","True","False","False","True","False","True","True","True","change_to_left"
"swerve_right","True","True","False","True","False","True","True","True","swerve_left"
"swerve_right","True","False","True","True","False","True","True","True","swerve_left"
"swerve_right","True","True","True","True","False","True","True","True","keep"
"swerve_right","True","False","False","False","True","True","True","True","swerve_left"
"swerve_right","True","True","False","False","True","True","True","True","swerve_left"
"swerve_right","True","False","True","False","True","True","True","True","swerve_left"
"swerve_right","True","True","True","False","True","True","True","True","swerve_left"
"swerve_right","True","False","False","True","True","True","True","True","swerve_left"
"swerve_right","True","True","False","True","True","True","True","True","swerve_left"
"swerve_right","True","False","True","True","True","True","True","True","swerve_left"
"swerve_right","True","True","True","True","True","True","True","True","keep"
"swerve_left","True","False","False","False","False","False","False","True","keep"
"swerve_left","True","True","False","False","False","False","False","True","keep"
"swerve_left","True","False","True","False","False","False","False","True","cruise"
"swerve_left","True","True","True","False","False","False","False","True","swerve_right"
"swerve_left","True","False","False","True","False","False","False","True","keep"
"swerve_left","True","True","False","True","False","False","False","True","keep"
"swerve_left","True","False","True","True","False","False","False","True","cruise"
"swerve_left","True","True","True","True","False","False","False","True","swerve_right"
"swerve_left","True","False","False","False","True","False","False","True","swerve_right"
"swerve_left","True","True","False","False","True","False","False","True","swerve_right"
"swerve_left","True","False","True","False","True","False","False","True","swerve_right"
"swerve_left","True","True","True","False","True","False","False","True","keep"
"swerve_left","True","False","False","True","True","False","False","True","keep"
"swerve_left","True","True","False","True","True","False","False","True","swerve_right"
"swerve_left","True","False","True","True","True","False","False","True","cruise"
"swerve_left","True","True","True","True","True","False","False","True","swerve_right"
"swerve_left","True","False","False","False","False","True","False","True","swerve_right"
"swerve_left","True","True","False","False","False","True","False","True","swerve_right"
"swerve_left","True","False","True","False","False","True","False","True","swerve_right"
"swerve_left","True","True","True","False","False","True","False","True","keep"
"swerve_left","True","False","False","True","False","True","False","True","keep"
"swerve_left","True","True","False","True","False","True","False","True","swerve_right"
"swerve_left","True","False","True","True","False","True","False","True","cruise"
"swerve_left","True","True","True","True","False","True","False","True","keep"
"swerve_left","True","False","False","False","True","True","False","True","swerve_right"
"swerve_left","True","True","False","False","True","True","False","True","swerve_right"
"swerve_left","True","False","True","False","True","True","False","True","swerve_right"
"swerve_left","True","True","True","False","True","True","False","True","swerve_right"
"swerve_left","True","False","False","True","True","True","False","True","keep"
"swerve_left","True","True","False","True","True","True","False","True","swerve_right"
"swerve_left","True","False","True","True","True","True","False","True","cruise"
"swerve_left","True","True","True","True","True","True","False","True","swerve_right"
"swerve_left","True","False","False","False","False","False","True","True","keep"
"swerve_left","True","True","False","False","False","False","True","True","keep"
"swerve_left","True","False","True","False","False","False","True","True","keep"
"swerve_left","True","True","True","False","False","False","True","True","swerve_right"
"swerve_left","True","False","False","True","False","False","True","True","swerve_right"
"swerve_left","True","True","False","True","False","False","True","True","swerve_right"
"swerve_left","True","False","True","True","False","False","True","True","change_to_left"
"swerve_left","True","True","True","True","False","False","True","True","keep"
"swerve_left","True","False","False","False","True","False","True","True","swerve_right"
"swerve_left","True","True","False","False","True","False","True","True","swerve_right"
"swerve_left","True","False","True","False","True","False","True","True","keep"
"swerve_left","True","True","True","False","True","False","True","True","swerve_right"
"swerve_left","True","False","False","True","True","False","True","True","swerve_right"
"swerve_left","True","True","False","True","True","False","True","True","swerve_right"
"swerve_left","True","False","True","True","True","False","True","True","keep"
"swerve_left","True","True","True","True","True","False","True","True","swerve_right"
"swerve_left","True","False","False","False","False","True","True","True","swerve_right"
"swerve_left","True","True","False","False","False","True","True","True","swerve_right"
"swerve_left","True","False","True","False","False","True","True","True","keep"
"swerve_left","True","True","True","False","False","True","True","True","swerve_right"
"swerve_left","True","False","False","True","False","True","True","True","change_to_left"
"swerve_left","True","True","False","True","False","True","True","True","swerve_right"
"swerve_left","True","False","True","True","False","True","True","True","keep"
"swerve_left","True","True","True","True","False","True","True","True","keep"
"swerve_left","True","False","False","False","True","True","True","True","swerve_right"
"swerve_left","True","True","False","False","True","True","True","True","swerve_right"
"swerve_left","True","False","True","False","True","True","True","True","keep"
"swerve_left","True","True","True","False","True","True","True","True","keep"
"swerve_left","True","False","False","True","True","True","True","True","swerve_right"
"swerve_left","True","True","False","True","True","True","True","True","swerve_right"
"swerve_left","True","False","True","True","True","True","True","True","keep"
"swerve_left","True","True","True","True","True","True","True","True","keep"
"swerve_right","False","False","False","False","False","False","False","True","keep"
"swerve_right","False","True","False","False","False","False","False","True","swerve_left"
"swerve_right","False","False","True","False","False","False","False","True","keep"
"swerve_right","False","True","True","False","False","False","False","True","keep"
"swerve_right","False","False","False","True","False","False","False","True","keep"
"swerve_right","False","True","False","True","False","False","False","True","cruise"
"swerve_right","False","False","True","True","False","False","False","True","cruise"
"swerve_right","False","True","True","True","False","False","False","True","change_to_right"
"swerve_right","False","False","False","False","True","False","False","True","keep"
"swerve_right","False","True","False","False","True","False","False","True","swerve_left"
"swerve_right","False","False","True","False","True","False","False","True","keep"
"swerve_right","False","True","True","False","True","False","False","True","keep"
"swerve_right","False","False","False","True","True","False","False","True","keep"
"swerve_right","False","True","False","True","True","False","False","True","cruise"
"swerve_right","False","False","True","True","True","False","False","True","cruise"
"swerve_right","False","True","True","True","True","False","False","True","cruise"
"swerve_right","False","False","False","False","False","True","False","True","keep"
"swerve_right","False","True","False","False","False","True","False","True","keep"
"swerve_right","False","False","True","False","False","True","False","True","keep"
"swerve_right","False","True","True","False","False","True","False","True","keep"
"swerve_right","False","False","False","True","False","True","False","True","cruise"
"swerve_right","False","True","False","True","False","True","False","True","cruise"
"swerve_right","False","False","True","True","False","True","False","True","cruise"
"swerve_right","False","True","True","True","False","True","False","True","cruise"
"swerve_right","False","False","False","False","True","True","False","True","swerve_left"
"swerve_right","False","True","False","False","True","True","False","True","swerve_left"
"swerve_right","False","False","True","False","True","True","False","True","keep"
"swerve_right","False","True","True","False","True","True","False","True","keep"
"swerve_right","False","False","False","True","True","True","False","True","keep"
"swerve_right","False","True","False","True","True","True","False","True","cruise"
"swerve_right","False","False","True","True","True","True","False","True","cruise"
"swerve_right","False","True","True","True","True","True","False","True","change_to_right"
"swerve_right","False","False","False","False","False","False","True","True","swerve_left"
"swerve_right","False","True","False","False","False","False","True","True","swerve_left"
"swerve_right","False","False","True","False","False","False","True","True","swerve_left"
"swerve_right","False","True","True","False","False","False","True","True","change_to_right"
"swerve_right","False","False","False","True","False","False","True","True","keep"
"swerve_right","False","True","False","True","False","False","True","True","swerve_left"
"swerve_right","False","False","True","True","False","False","True","True","keep"
"swerve_right","False","True","True","True","False","False","True","True","keep"
"swerve_right","False","False","False","False","True","False","True","True","swerve_left"
"swerve_right","False","True","False","False","True","False","True","True","swerve_left"
"swerve_right","False","False","True","False","True","False","True","True","keep"
"swerve_right","False","True","True","False","True","False","True","True","keep"
"swerve_right","False","False","False","True","True","False","True","True","swerve_left"
"swerve_right","False","True","False","True","True","False","True","True","swerve_left"
"swerve_right","False","False","True","True","True","False","True","True","keep"
"swerve_right","False","True","True","True","True","False","True","True","swerve_left"
"swerve_right","False","False","False","False","False","True","True","True","swerve_left"
"swerve_right","False","True","False","False","False","True","True","True","swerve_left"
"swerve_right","False","False","True","False","False","True","True","True","swerve_left"
"swerve_right","False","True","True","False","False","True","True","True","keep"
"swerve_right","False","False","False","True","False","True","True","True","keep"
"swerve_right","False","True","False","True","False","True","True","True","keep"
"swerve_right","False","False","True","True","False","True","True","True","keep"
"swerve_right","False","True","True","True","False","True","True","True","keep"
"swerve_right","False","False","False","False","True","True","True","True","swerve_left"
"swerve_right","False","True","False","False","True","True","True","True","swerve_left"
"swerve_right","False","False","True","False","True","True","True","True","swerve_left"
"swerve_right","False","True","True","False","True","True","True","True","keep"
"swerve_right","False","False","False","True","True","True","True","True","swerve_left"
"swerve_right","False","True","False","True","True","True","True","True","swerve_left"
"swerve_right","False","False","True","True","True","True","True","True","swerve_left"
"swerve_right","False","True","True","True","True","True","True","True","swerve_left"
"change_to_right","False","False","False","False","False","False","False","True","swerve_right"
"cruise","False","False","False","False","False","False","False","True","keep"
"change_to_left","False","False","False","False","False","False","False","True","swerve_right"
"change_to_right","False","False","False","False","False","False","True","True","swerve_left"
"cruise","False","False","False","False","False","False","True","True","swerve_left"
"change_to_left","False","False","False","False","False","False","True","True","swerve_left"
"change_to_right","False","False","False","False","False","True","False","True","swerve_right"
"cruise","False","False","False","False","False","True","False","True","swerve_right"
"change_to_left","False","False","False","False","False","True","False","True","swerve_right"
"change_to_right","False","False","False","False","False","True","True","True","swerve_left"
"cruise","False","False","False","False","False","True","True","True","swerve_left"
"change_to_left","False","False","False","False","False","True","True","True","swerve_left"
"change_to_right","False","False","False","False","True","False","False","True","swerve_left"
"cruise","False","False","False","False","True","False","False","True","swerve_right"
"change_to_left","False","False","False","False","True","False","False","True","keep"
"change_to_right","False","False","False","False","True","False","True","True","swerve_left"
"cruise","False","False","False","False","True","False","True","True","swerve_left"
"change_to_left","False","False","False","False","True","False","True","True","swerve_left"
"change_to_right","False","False","False","False","True","True","False","True","swerve_right"
"cruise","False","False","False","False","True","True","False","True","swerve_right"
"change_to_left","False","False","False","False","True","True","False","True","swerve_right"
